지점,일시,평균 오존전량(DU)
132,2014-03-19,
132,2014-03-20,379.8
132,2014-03-21,376.5
132,2014-03-22,379.2
132,2014-03-23,368
132,2014-03-24,350.8
132,2014-03-25,
132,2014-03-26,328.3
132,2014-03-27,359.9
132,2014-03-28,329.4
132,2014-03-29,
132,2014-03-30,357
132,2014-03-31,326.8
132,2014-04-01,341.6
132,2014-04-02,343.3
132,2014-04-03,
132,2014-04-04,369.5
132,2014-04-05,404.5
132,2014-04-06,377
132,2014-04-07,332.7
132,2014-04-08,359.9
132,2014-04-09,348
132,2014-04-10,316.9
132,2014-04-11,334.6
132,2014-04-12,328.8
132,2014-04-13,328.2
132,2014-04-14,316.5
132,2014-04-15,314.3
132,2014-04-16,322
132,2014-04-17,324.3
132,2014-04-18,347.6
132,2014-04-19,319.4
132,2014-04-20,330
132,2014-04-21,320.5
132,2014-04-22,333.1
132,2014-04-23,359.4
132,2014-04-24,369
132,2014-04-25,351.7
132,2014-04-26,345.3
132,2014-04-27,
132,2014-04-28,
132,2014-04-29,377.5
132,2014-04-30,374.1
132,2014-05-01,342.9
132,2014-05-02,331.5
132,2014-05-03,357.5
132,2014-05-04,348.9
132,2014-05-05,365.3
132,2014-05-06,393.7
132,2014-05-07,396.2
132,2014-05-08,420.1
132,2014-05-09,371.6
132,2014-05-10,356.5
132,2014-05-11,320.2
132,2014-05-12,318.6
132,2014-05-13,318.2
132,2014-05-14,307.5
132,2014-05-15,327.9
132,2014-05-16,319.8
132,2014-05-17,319.5
132,2014-05-18,332.9
132,2014-05-19,344.1
132,2014-05-20,346.1
132,2014-05-21,343.4
132,2014-05-22,353.8
132,2014-05-23,333.3
132,2014-05-24,302.2
132,2014-05-25,304.3
132,2014-05-26,328.6
132,2014-05-27,366
132,2014-05-28,377.1
132,2014-05-29,368.8
132,2014-05-30,376.3
132,2014-05-31,337.9
132,2014-06-01,314.5
132,2014-06-02,
132,2014-06-03,342.3
132,2014-06-04,345.7
132,2014-06-05,310.9
132,2014-06-06,315.6
132,2014-06-07,314
132,2014-06-08,345.6
132,2014-06-09,354
